Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location,UniqueID
1297597-02-221,1098348,Epicer Llc,Epicer Llc Dba Good Good Culture Club,3560 18th St,San Francisco,CA,94110,11/07/2018,,01/01/2022,01/01/2022,3560 18th St,San Francisco,94110,CA,7220-7229,Food Services,false,false,,,8,Mission,,POINT (-122.42287 37.76165),1297597-02-221-1098348-7220-7229-01-01-2022
1292730-12-211,0046324,Compass Group Usa Inc,"United Club Hub, United Airlines",Terminal 3 Concourse  Terminal,San Francisco,CA,94128,10/01/1968,,12/02/2021,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.40682 37.646137),1292730-12-211-0046324-7220-7229-12-02-2021
1292732-12-211,0046324,Compass Group Usa Inc,"United Club-G Club, United Airlines International",Terminal G Concourse Terminal,San Francisco,CA,94128,10/01/1968,,12/02/2021,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.399124 37.620438),1292732-12-211-0046324-7220-7229-12-02-2021
1323159-02-231,0046324,Compass Group Usa Inc,Eurest/delta Sky Club,280487 San Francisco International,San Francisco,CA,94128,10/01/1968,,01/01/2023,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.37921 37.620876),1323159-02-231-0046324-7220-7229-01-01-2023
1323205-02-231,0046324,Compass Group Usa Inc,"United Club-G Club, United Airlines International",Concourse Terminal,San Francisco,CA,94128,10/01/1968,,01/01/2023,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.399124 37.620438),1323205-02-231-0046324-7220-7229-01-01-2023
1323201-02-231,0046324,Compass Group Usa Inc,"United Club Hub, United Airlines",Concourse Terminal,San Francisco,CA,94128,10/01/1968,,01/01/2023,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.399124 37.620438),1323201-02-231-0046324-7220-7229-01-01-2023
1323162-02-231,0046324,Compass Group Usa Inc,Eurest/delta Sky Club,780 Mcdonnell Rd,San Francisco,CA,94128-3103,10/01/1968,,01/01/2023,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,,,,POINT (-122.4012 37.627377),1323162-02-231-0046324-7220-7229-01-01-2023
1323198-02-231,0046324,Compass Group Usa Inc,"United Club Bae, United Airlines",3 Concourse,San Francisco,CA,94128,10/01/1968,,01/01/2023,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,false,false,,,10,Bayview Hunters Point,,POINT (-122.391464 37.73244),1323198-02-231-0046324-7220-7229-01-01-2023
0431563-01-001,0431563,"Ays Sf, Inc",Club Eight,1151 Folsom St,San Francisco,CA,94103,04/22/2005,,04/22/2005,12/31/2011,328 Missouri St,San Francisco,94107,CA,7220-7229,Food Services,false,false,,,6,South of Market,,POINT (-122.409035 37.77577),0431563-01-001-0431563-7220-7229-04-22-2005
1199148-08-181,1092052,Burma Bar Inc,Burma Club,8 Mint Plz,San Francisco,CA,94103,08/27/2018,,08/27/2018,02/01/2021,991 Mission St,San Francisco,94103,CA,7220-7229,Food Services,false,false,,,6,South of Market,,POINT (-122.407814 37.782665),1199148-08-181-1092052-7220-7229-08-27-2018
